DATE,GOLD,OIL
01/01/1968,39.1,3.07
01/02/1968,41.95,3.07
01/03/1968,40.9,3.07
01/04/1968,38.85,3.07
01/05/1968,39.8,3.07
01/06/1968,39.6,3.07
01/07/1968,39,3.07
01/08/1968,39.85,3.07
01/09/1968,41.9,3.07
01/10/1968,42.54,3.07
01/11/1968,42.7,3.07
01/12/1968,42.9,3.25
01/01/1969,43.6,3.35
01/02/1969,43.075,3.35
01/03/1969,41.2,3.35
01/04/1969,41.39,3.35
01/05/1969,40.86,3.35
01/06/1969,40.675,3.35
01/07/1969,39.75,3.35
01/08/1969,35.6,3.35
01/09/1969,35.2,3.35
01/10/1969,34.99,3.35
01/11/1969,35.02,3.35
01/12/1969,35.3,3.35
01/01/1970,35.85,3.35
01/02/1970,35.45,3.35
01/03/1970,35.49,3.35
01/04/1970,35.3,3.31
01/05/1970,35.8,3.31
01/06/1970,36.4,3.31
01/07/1970,37.25,3.31
01/08/1970,37.54,3.31
01/09/1970,37.375,3.56
01/10/1970,38.05,3.56
01/11/1970,38.8,3.56
01/12/1970,38.875,3.56
01/01/1971,39.7,3.56
01/02/1971,40.84,3.56
01/03/1971,40.1,3.56
01/04/1971,42.4,3.56
01/05/1971,40.65,3.56
01/06/1971,42.6,3.56
01/07/1971,42.34,3.56
01/08/1971,43.6,3.56
01/09/1971,43.55,3.56
01/10/1971,47.15,3.56
01/11/1971,48.2,3.56
01/12/1971,48.38,3.56
01/01/1972,49.6,3.56
01/02/1972,59.45,3.56
01/03/1972,64.65,3.56
01/04/1972,68.3,3.56
01/05/1972,66.875,3.56
01/06/1972,64.2,3.56
01/07/1972,64.39,3.56
01/08/1972,63.6,3.56
01/09/1972,64.9,3.56
01/10/1972,66,3.56
01/11/1972,85,3.56
01/12/1972,90,3.56
01/01/1973,90.725,3.56
01/02/1973,114.75,3.56
01/03/1973,123.25,3.56
01/04/1973,115.6,3.56
01/05/1973,103.5,4.31
01/06/1973,100,4.31
01/07/1973,98,4.31
01/08/1973,101,4.31
01/09/1973,112.25,4.31
01/10/1973,132.5,10.11
01/11/1973,162.5,10.11
01/12/1973,173,10.11
01/01/1974,169.25,10.11
01/02/1974,156.75,10.11
01/03/1974,144.25,10.11
01/04/1974,156,10.11
01/05/1974,156,10.11
01/06/1974,151.25,10.11
01/07/1974,167,11.16
01/08/1974,184,11.16
01/09/1974,186.5,11.16
01/10/1974,175.8,11.16
01/11/1974,181.75,11.16
01/12/1974,177.25,11.16
01/01/1975,167,11.16
01/02/1975,167,11.16
01/03/1975,166.25,11.16
01/04/1975,166.7,11.16
01/05/1975,159.8,11.16
01/06/1975,141.25,11.16
01/07/1975,142.9,11.16
01/08/1975,138.15,11.16
01/09/1975,140.25,11.16
01/10/1975,128.15,11.16
01/11/1975,132.3,12.03
01/12/1975,129.6,12.1
01/01/1976,128.4,12.17
01/02/1976,125.5,12.17
01/03/1976,123.8,12.17
01/04/1976,112.5,12.17
01/05/1976,104,12.17
01/06/1976,116,13.9
01/07/1976,123.15,13.9
01/08/1976,130.25,13.9
01/09/1976,134.5,13.9
01/10/1976,132.3,13.9
01/11/1976,142.75,13.9
01/12/1976,148.9,13.9
01/01/1977,147.25,13.9
01/02/1977,142.95,13.9
01/03/1977,143,13.9
01/04/1977,144.1,13.9
01/05/1977,146,14.85
01/06/1977,154.05,14.85
01/07/1977,161.5,14.85
01/08/1977,160.05,14.85
01/09/1977,164.95,14.85
01/10/1977,175.75,14.85
01/11/1977,182.25,14.85
01/12/1977,181.6,14.85
01/01/1978,170.85,14.85
01/02/1978,184.15,14.85
01/03/1978,183.05,14.85
01/04/1978,200.25,14.85
01/05/1978,208.7,14.85
01/06/1978,217.1,14.85
01/07/1978,242.6,14.85
01/08/1978,193.4,14.85
01/09/1978,226,14.85
01/10/1978,233.7,14.85
01/11/1978,251.3,15.85
01/12/1978,240.1,15.85
01/01/1979,245.3,15.85
01/02/1979,274.6,18.1
01/03/1979,277.5,19.1
01/04/1979,296.45,21.75
01/05/1979,315.1,26.5
01/06/1979,397.25,28.5
01/07/1979,382,29
01/08/1979,415.65,31
01/09/1979,512,32.5
01/10/1979,653,32.5
01/11/1979,637,37
01/12/1979,494.5,38
01/01/1980,518,39.5
01/02/1980,535.5,39.5
01/03/1980,653.5,39.5
01/04/1980,614.25,39.5
01/05/1980,631.25,38
01/06/1980,666.75,36
01/07/1980,629,36
01/08/1980,619.75,36
01/09/1980,589.75,37
01/10/1980,506.5,38
01/11/1980,489,38
01/12/1980,513.75,38
01/01/1981,482.75,38
01/02/1981,479.25,38
01/03/1981,426,36
01/04/1981,406,36
01/05/1981,425,36
01/06/1981,428.75,36
01/07/1981,427,35
01/08/1981,414.5,36
01/09/1981,397.5,35
01/10/1981,387,33.85
01/11/1981,362.6,31.56
01/12/1981,320,28.48
01/01/1982,361.25,33.45
01/02/1982,325.25,35.93
01/03/1982,317.5,35.07
01/04/1982,342.9,34.16
01/05/1982,411.5,33.95
01/06/1982,397,35.63
01/07/1982,423.25,35.68
01/08/1982,436,34.15
01/09/1982,456.9,31.72
01/10/1982,499.5,31.19
01/11/1982,408.5,28.95
01/12/1982,414.75,28.82
01/01/1983,429.25,30.61
01/02/1983,437.5,30
01/03/1983,416,31
01/04/1983,422,31.66
01/05/1983,414.25,31.91
01/06/1983,405,31.11
01/07/1983,382,30.41
01/08/1983,405,29.84
01/09/1983,382.4,29.24
01/10/1983,373.75,29.69
01/11/1983,394.25,30.145
01/12/1983,388.5,30.761
01/01/1984,375.8,30.618
01/02/1984,384.25,30.52
01/03/1984,373.05,29.967
01/04/1984,342.35,28.752
01/05/1984,348.25,29.25
01/06/1984,343.75,29.311
01/07/1984,333.5,28.765
01/08/1984,329,28.098
01/09/1984,308.3,25.429
01/10/1984,306.65,25.641
01/11/1984,287.75,27.271
01/12/1984,329.25,28.238
01/01/1985,321.35,28.805
01/02/1985,314,27.623
01/03/1985,317.75,27.143
