DATE,REAL_GDP
01/01/1980,89874.7
01/04/1980,92617.3
01/07/1980,92052.5
01/10/1980,96206
01/01/1981,90875.9
01/04/1981,94690.2
01/07/1981,94119.4
01/10/1981,97002
01/01/1982,91422.8
01/04/1982,93391.9
01/07/1982,92088.1
01/10/1982,94852.3
01/01/1983,91003.2
01/04/1983,93453.2
01/07/1983,93093.4
01/10/1983,96581.1
01/01/1984,92951.8
01/04/1984,95733.2
01/07/1984,96391.2
01/10/1984,100310.3
01/01/1985,96750.9
01/04/1985,99981.4
01/07/1985,99283.2
01/10/1985,103528.5
01/01/1986,98385.2
01/04/1986,102538.3
01/07/1986,101234.9
01/10/1986,104811.7
01/01/1987,99460.3
01/04/1987,102882.9
01/07/1987,103454
01/10/1987,107625.2
01/01/1988,103049.7
01/04/1988,105850.1
01/07/1988,106482.5
01/10/1988,111590.5
01/01/1989,107160.6
01/04/1989,111559.7
01/07/1989,111334.6
01/10/1989,115409.1
01/01/1990,113594.9
01/04/1990,116008.4
01/07/1990,114885.7
01/10/1990,117344.2
01/01/1991,113161
01/04/1991,114363
01/07/1991,113555.2
01/10/1991,116524.6
01/01/1992,113451.3
01/04/1992,115014.6
01/07/1992,113521.4
01/10/1992,115416.3
01/01/1993,111022.7
01/04/1993,113936.1
01/07/1993,114306.8
01/10/1993,117561.7
01/01/1994,114050.1
01/04/1994,114247.2
01/07/1994,115392.2
01/10/1994,118938.5
01/01/1995,113921.4
01/04/1995,116072.9
01/07/1995,116265.5
01/10/1995,118592.8
01/01/1996,114991.5
01/04/1996,116614.7
01/07/1996,116150.2
01/10/1996,119286.9
01/01/1997,115620.8
01/04/1997,118981.7
01/07/1997,119543.5
01/10/1997,123458.7
01/01/1998,119649.7
01/04/1998,123453.1
01/07/1998,123066.4
01/10/1998,125906.7
01/01/1999,121222.8
01/04/1999,124140.6
01/07/1999,124343.7
01/10/1999,130550.5
01/01/2000,126694.4
01/04/2000,129065.6
01/07/2000,129708.1
01/10/2000,134593.4
01/01/2001,129580.6
01/04/2001,132357.8
01/07/2001,131728.5
01/10/2001,134589.1
01/01/2002,129338.1
01/04/2002,132425.5
01/07/2002,131912.4
01/10/2002,134193.2
01/01/2003,128664.8
01/04/2003,130736.8
01/07/2003,131902.2
01/10/2003,136394.3
01/01/2004,132468.5
01/04/2004,135651.9
01/07/2004,135377.1
01/10/2004,138457.6
01/01/2005,134426
01/04/2005,138981.3
01/07/2005,139611.9
01/10/2005,143837.9
01/01/2006,140860.9
01/04/2006,144419.5
01/07/2006,144959.2
01/10/2006,149301.8
01/01/2007,145406.3
01/04/2007,150377.7
01/07/2007,151226.8
01/10/2007,155227.6
01/01/2008,151012.2
01/04/2008,156635.1
01/07/2008,156965.1
01/10/2008,154536.8
01/01/2009,146282.3
01/04/2009,150214.1
01/07/2009,152533.4
01/10/2009,155895.2
01/01/2010,151775.3
01/04/2010,155814.1
01/07/2010,156554.6
01/10/2010,160401.1
01/01/2011,155785.3
01/04/2011,159677.1
01/07/2011,158637.6
01/10/2011,161768.7
01/01/2012,157242.2
01/04/2012,160476.8
01/07/2012,161176.1
01/10/2012,164472.2
01/01/2013,158903.2
01/04/2013,163887.6
01/07/2013,164312.7
01/10/2013,167793.8
01/01/2014,162576.9
01/04/2014,167381.3
01/07/2014,167866.4
01/10/2014,172462.1
01/01/2015,165665.6
01/04/2015,170055.1
01/07/2015,170620.2
01/10/2015,174969.6
01/01/2016,169314.9
01/04/2016,174127.1
01/07/2016,174190.4
01/10/2016,177772.1
01/01/2017,172543.1
01/04/2017,175687
01/07/2017,175827.9
01/10/2017,180823.5
01/01/2018,177113.1
01/04/2018,182651.4
01/07/2018,180676
01/10/2018,184603.9
01/01/2019,178922.1
01/04/2019,183284.9
01/07/2019,183386.5
01/10/2019,187730.6
01/01/2020,179272.3
01/04/2020,169843.5
01/07/2020,181350.6
01/10/2020,185437.3
01/01/2021,178951.2
01/04/2021,186372.8
01/07/2021,188595.4
01/10/2021,192207.7
01/01/2022,186832.4
01/04/2022,190906.9
