Date,TSLA
29/06/2010,1.592667
30/06/2010,1.588667
01/07/2010,1.464
02/07/2010,1.28
06/07/2010,1.074
07/07/2010,1.053333
08/07/2010,1.164
09/07/2010,1.16
12/07/2010,1.136667
13/07/2010,1.209333
14/07/2010,1.322667
15/07/2010,1.326
16/07/2010,1.376
19/07/2010,1.460667
20/07/2010,1.353333
21/07/2010,1.348
22/07/2010,1.4
23/07/2010,1.419333
26/07/2010,1.396667
27/07/2010,1.37
28/07/2010,1.381333
29/07/2010,1.356667
30/07/2010,1.329333
02/08/2010,1.394667
03/08/2010,1.463333
04/08/2010,1.417333
05/08/2010,1.363333
06/08/2010,1.306
09/08/2010,1.306667
10/08/2010,1.268667
11/08/2010,1.193333
12/08/2010,1.173333
13/08/2010,1.221333
16/08/2010,1.252
17/08/2010,1.276667
18/08/2010,1.251333
19/08/2010,1.252667
20/08/2010,1.273333
23/08/2010,1.342
24/08/2010,1.28
25/08/2010,1.326667
26/08/2010,1.316667
27/08/2010,1.313333
30/08/2010,1.324667
31/08/2010,1.298667
01/09/2010,1.363333
02/09/2010,1.404
03/09/2010,1.403333
07/09/2010,1.369333
08/09/2010,1.393333
09/09/2010,1.380667
10/09/2010,1.344667
13/09/2010,1.381333
14/09/2010,1.408
15/09/2010,1.465333
16/09/2010,1.396
17/09/2010,1.348667
20/09/2010,1.404
21/09/2010,1.384667
22/09/2010,1.324667
23/09/2010,1.304
24/09/2010,1.34
27/09/2010,1.368667
28/09/2010,1.426667
29/09/2010,1.465333
30/09/2010,1.360667
01/10/2010,1.373333
04/10/2010,1.399333
05/10/2010,1.408
06/10/2010,1.364
07/10/2010,1.362
08/10/2010,1.362
11/10/2010,1.349333
12/10/2010,1.349333
13/10/2010,1.369333
14/10/2010,1.383333
15/10/2010,1.369333
18/10/2010,1.348667
19/10/2010,1.336667
20/10/2010,1.376667
21/10/2010,1.383333
22/10/2010,1.381333
25/10/2010,1.39
26/10/2010,1.424
27/10/2010,1.4
28/10/2010,1.412667
29/10/2010,1.456
01/11/2010,1.427333
02/11/2010,1.416667
03/11/2010,1.451333
04/11/2010,1.66
05/11/2010,1.629333
08/11/2010,1.665333
09/11/2010,1.642
10/11/2010,1.957333
11/11/2010,1.869333
12/11/2010,1.989333
15/11/2010,2.053333
16/11/2010,1.978
17/11/2010,1.966
18/11/2010,1.992667
19/11/2010,2.066
22/11/2010,2.226667
23/11/2010,2.304667
24/11/2010,2.364667
26/11/2010,2.354667
29/11/2010,2.288667
30/11/2010,2.355333
01/12/2010,2.29
02/12/2010,2.156667
03/12/2010,2.099333
06/12/2010,2.020667
07/12/2010,2.104
08/12/2010,2.158
09/12/2010,2.136667
10/12/2010,2.101333
13/12/2010,2.036667
14/12/2010,1.902
15/12/2010,1.973333
16/12/2010,2.054
17/12/2010,2.090667
20/12/2010,2.113333
21/12/2010,2.150667
22/12/2010,2.175333
23/12/2010,2.006
27/12/2010,1.703333
28/12/2010,1.760667
29/12/2010,1.848667
30/12/2010,1.766667
31/12/2010,1.775333
03/01/2011,1.774667
04/01/2011,1.778
05/01/2011,1.788667
06/01/2011,1.858667
